Age,Gender,CDate,Cloc,Ccountry-iso_alpha,CHist,Mem,3Wrds,ColorHex,ColorRes
25-40,Female,3/11/20,"Fair Lawn, NJ, USA",USA,The World Health Organization declares the COVID-19 outbreak a pandemic.,"So, on this data, I received notification that Pratt would be closing its campus for physical classes and would be transitioning to virtual classes indefinitely. This announcement was the ""nail in the coffin"" as it followed announcements that my community college I work at would be transitioning to virtual operations and my local library I also worked at would be closed indefinitely. It cemented that this situation with Covid was real and threatening. I wasn't even wearing a mask yet when I received these notifications. Suddenly, my whole world was at a standstill and the entire world was shutting down around me. Everything on Twitter about shutdowns, was true. Daily briefings on Covid became my reality after this date. All of my interactions with people, media, and space completely changed (and have yet to really return to anything that could be classified as ""normal"").","Anxious, Unnerved, Fearful",#0066FF,"It reminds me of Twitter blue. I remember endlessly ""doom scrolling"" on Twitter the night the closure announcement was made. We were all in the same boat that night."
,,3/12/20,,,"Global stock markets crash due to the COVID-19 pandemic and the United States travel ban on the Schengen Area. The DJIA goes into free fall, closing at over _2,300 points, the worst losses for the index since 1987.",,,,
,,3/13/20,,,The government of Nepal announces that Mount Everest will be closed to climbers and the public for the rest of the season due to concerns from the COVID-19 pandemic in Asia.,,,,
41-55,Female,3/13/20,"Brooklyn, NY, USA",USA,,It was the day that I learned that public schools would close down because of an epidemic,"disbelief, confusion, concern",#660000,"Red reminds me of school, and concern"
,,3/14/20,,,,,,,
,,3/15/20,,,,,,,
25-40,Female,3/16/20,"Charlotte, NC, USA",USA,,"It was the day I broke down and almost ruined my relationship.  I had some social anxiety before our state's shutdown.  So, staying home was actually a personal reprieve.  I was already really stressed and upset that night and made the mistake of watching Grey Gardens, which is a movie about two recluses.  I thought it would be really great to be a recluse for the rest of my life because I was too scared of the world outside.  I wanted the virus to go away, but I didn't want to be forced to go outside and interact with the world.  My partner, who was dealing with his own stress, didn't understand my feelings or what I was saying.  I don't think I exactly know what I was saying either; I just felt scared and done with the world.  It didn't seem like a fair playing field out there, so why join in?  I knew I would eventually have to get out into the world, but at the time, I was just voicing my anxiety, hoping for some encouraging words as a response.  Instead, my partner said he didn't want to be with someone who didn't want to be in the world anymore, and everything just escalated from there.  ","stressful, upset, hysterical",#FF3300,"There were high tensions, but no rage, which I associate with a bright red.  Just a lot of stress and fear on the cusp of turning into rage."
18-24,Female,3/17/20,"East Meadow, NY, USA",USA,The European Union's external and Schengen borders are closed for at least 30 days in an effort to curb the COVID-19 pandemic. The Euro 2020 and 2020 Copa Am�rica association football tournaments are postponed until the summer of 2021 by UEFA and CONMEBOL respectively.,"This is the date that everything closed down. I was put on furlough for two months, my parents were furloughed for one month and then let go. This started a very difficult uncertain time period for my family that is just now starting to close that chapter.","Scared, surreal, worried",#000066,"Blue to me is a nervous, cold, anxious color. While it can be calming, the darker shades of blue make it seem more like night that has always caused me anxiety. "
,,3/18/20,,,"The Eurovision Song Contest 2020 is cancelled due to COVID-19 in Europe, the first cancellation in the contest's 64-year history. Solidarity trial, a WHO-sponsored clinical trial dedicated to finding a cure against COVID-19, is announced.",,,,
,,3/19/20,,,,,,,
,,3/20/20,,,"The worldwide death toll from COVID-19 surpasses 10,000 as the total number of cases reaches a quarter of a million.",,,,
,,3/21/20,,,,,,,
25-40,Male,3/22/20,"Patterson, NJ, USA",USA,,It was the day that the NJ statewide curfew began. I remember feeling afraid for myself and my family from not knowing how the spreading pandemic would play out. It really hit home when so much was shut down.,"fearful, anxious, worried",#000000,"Absolute darkness provokes high levels of fear in me, and fear was a memorable experience for me at this time."
,,3/23/20,,,,,,,
,,3/24/20,,,"India and the United Kingdom go into lockdown to contain COVID-19. The total number of people in the world facing some form of pandemic-related movement restriction now exceeds 2.6 billion, a third of the global population.  Chinese Premier Li Keqiang reports that the domestically transmitted epidemic is now under control.[50] Two days later, China temporarily suspends entry for foreign nationals with visas or residence permits, effective midnight March 28.  The International Olympic Committee and Japan suspend the 2020 Summer Olympics until 2021. On March 30, the Summer Olympics are rescheduled from July 23 to August 8, 2021.",,,,
,,3/25/20,,,,,,,
,,3/26/20,,,"Global COVID-19 cases reach 500,000, with nearly 23,000 deaths confirmed.[54] The U.S. surpasses China and Italy in total number of known COVID-19 cases, with at least 81,321 cases and more than 1,000 deaths.  Militants in the Philippines, Syria, Yemen, and Libya agree to U.N. Secretary-General Ant�nio Guterres' call for a ceasefire; some accept medical aid for themselves and civilians in their communities. Colombia and Venezuela discuss a common response to the global pandemic, and the UAE airlifts aid to Iran.",,,,
,,3/27/20,,,,,,,
,,3/28/20,,,,,,,
,,3/29/20,,,,,,,
25-40,Female,3/30/20,"Radford, VA, USA",USA,,My Grandmother passed away and we couldn’t grieve as we normally would due to the pandemic. I couldn’t hug my mom (who had just lost her mom) and we couldn’t celebrate the life of my grandmother the way we would have wanted to and the way she would have wanted us to. It was also a couple days after George Floyd was murdered and protests were going on around the country that day. It was a period of a lot of grief and anger being directed in many different places.,"Angry, Sunken, bitter ",#330066,It feels like a somber color
,,3/31/20,,,,,,,
,,4/1/20,,,"China reports 130 asymptomatic cases of COVID-19, its first reported asymptomatic cases.  Yemen's internationally recognised government releases more than 470 of its prisoners amid concerns of the spread of the virus in Yemen's overcrowded jails. The United Nations Human Rights Council has called for the release of all political prisoners.",,,,
,,4/2/20,,,COVID-19 pandemic: The number of confirmed cases of COVID-19 passes 1 million worldwide.,,,,
,,4/3/20,,,,,,,
,,4/4/20,,,,,,,
,,4/5/20,,,The first case of COVID-19 in a zoo animal is reported: a four-year-old female Malayan tiger at the Bronx Zoo in New York City.[,,,,
,,4/6/20,,,,,,,
,,4/7/20,,," Japan declares a state of emergency in response to COVID-19 and finalises a stimulus package worth 108 trillion yen (US$990 billion), equal to 20% of the country's GDP",,,,
,,4/8/20,,,The Saudi-led coalition declares a unilateral ceasefire in its operations against Houthi forces in Yemen in accordance with United Nations-led efforts.[,,,,
,,4/9/20,,,,,,,
,,4/10/20,,,"The death toll from COVID-19 exceeds 100,000 globally, a ten-fold increase from March 20.  EU finance ministers agree on a �540 billion loan package to alleviate the economic fallout of the coronavirus pandemic.",,,,
,,4/11/20,,,,,,,
,,4/12/20,,,"COVID-19 pandemic: Pope Francis livestreams the Urbi et Orbi blessing for Easter; it is the second blessing in a month, with the first taking place on March 27 during a special prayer service for the end of the pandemic.  OPEC and allies strike a deal to cut oil production by 9.7 million barrels per day, the largest such cut agreed upon, starting May 1.",,,,
,,4/13/20,,,,,,,
,,4/14/20,,,"The International Monetary Fund (IMF) says it expects the world economy to shrink 3%, the worst contraction since the Great Depression of the 1930s.  U.S. president Donald Trump announces that the U.S. will suspend funding towards the World Health Organization (WHO) pending an investigation of its handling of the COVID-19 pandemic and its relationship with China.",,,,
,,4/15/20,,,The number of confirmed cases of COVID-19 passes 2 million worldwide.  The 2020 Tour de France is delayed until August 2020 due to the COVID-19 pandemic.  ,,,,
,,4/16/20,,,,,,,
,,4/17/20,,,"China revises the COVID-19 death toll in Wuhan upward, adding 1,290 more fatalities to bring the country's reported COVID-19 deaths to 4,632.  Europe surpasses 100,000 COVID-19-related deaths.  The U.N. Human Rights Office accuses Myanmar of carrying out daily airstrikes in the Rakhine and Chin states and that at least 32 civilians have been killed since March 23. The separatist Arakan Army unilaterally declared a month-long ceasefire to fight the pandemic, but the military rejected the ceasefire claiming a previous ceasefire had been reneged by the insurgents.",,,,
,,4/18/20,,,,,,,
,,4/19/20,,,"Unrest breaks out in Paris, Berlin and Vladikavkaz as opposition to COVID-19 lockdowns continue.",,,,
,,4/20/20,,,,,,,
,,4/21/20,,,,,,,
,,4/22/20,,,,,,,
,,4/23/20,,,"Facebook removes ""pseudoscience"" and ""conspiracy theory"" as options for targeted ads as criticism mounts against social media for its role in spreading misinformation about COVID-19.",,,,
,,4/24/20,,,,,,,
,,4/25/20,,,"The global death toll from COVID-19 exceeds 200,000.[93] The UK becomes the fifth country to report 20,000 deaths.[",,,,
,,4/26/20,,,,,,,
,,4/27/20,,,"The number of confirmed cases passes 3 million worldwide, while the number of confirmed cases in the U.S. passes 1 million.",,,,
,,4/28/20,,,,,,,
,,4/29/20,,,,,,,
,,4/30/20,,,,,,,
,,5/1/20,,,"The total number of recovered COVID-19 patients reaches 1 million worldwide, according to data from The Johns Hopkins University.",,,,
,,5/2/20,,,,,,,
,,5/3/20,,,,,,,
,,5/4/20,,,,,,,
,,5/5/20,,,"The U.K. death toll from COVID-19 becomes the highest in Europe at 32,313 after exceeding the death toll of 29,029 in Italy.",,,,
,,5/6/20,,,"New evidence indicates that an Algerian-born French fishmonger, who had not traveled to China and did not have contact with any Chinese nationals, was treated for pneumonia from an unknown source on December 27, 2019, now identified as COVID-19.",,,,
,,5/7/20,,,,,,,
,,5/8/20,,,,,,,
,,5/9/20,,,,,,,
,,5/10/20,,,"Wuhan reports its first coronavirus cases in more than a month. An 89-year-old man is confirmed positive, but his wife and several members of the community are recorded as asymptomatic cases.",,,,
,,5/11/20,,,,,,,
,,5/12/20,,,,,,,
,,5/13/20,,,,,,,
,,5/14/20,,,"The global death toll from COVID-19 exceeds 300,000.  The UN warns of a global mental health crisis caused by isolation, fear, uncertainty and economic turmoil.",,,,
,,5/15/20,,,,,,,
,,5/16/20,,,Bundesliga becomes the first major sports league to resume its season since March 11.,,,,
,,5/17/20,,,,,,,
,,5/18/20,,,,,,,
,,5/19/20,,,,,,,
,,5/20/20,,,,,,,
,,5/21/20,,,"The number of confirmed cases of COVID-19 passes 5 million worldwide, with 106,000 new cases recorded over the past 24 hours, the highest single-day figure so far.",,,,
,,5/22/20,,,"Brazil overtakes Russia to become the country with the second highest number of COVID-19 cases, with over 330,000 reported. President Jair Bolsonaro continues to dismiss the threat of the virus.",,,,
,,5/23/20,,,"China reports no new cases for the first time since the pandemic began, according to the National Health Commission.",,,,
,,5/24/20,,,,,,,
,,5/25/20,,,,,,,
,,5/26/20,,,,,,,
,,5/27/20,,,"The U.S. death toll passes 100,000 � more Americans than were killed in the Vietnam War and Korean War combined, and approaching that of the First World War, where 116,000 Americans died in combat.[146] The total number of cases continues to rise, although the rate is slowing.",,,,
,,5/28/20,,,,,,,
25-40,Female,5/29/20,"Brooklyn, NY, USA",USA,,"On May 29th 2020 I put down my dog who had been living with cancer for over a year. That morning I got up, put on my best “everything is okay face,” and brought my dog to the park one last time. This was before we all wore masks, but we did distance. On the last day my dog was alive, all of these people we had only met a year before came out to see her, despite how sad of a time we were already living through. No one was able to hug me, despite them really wanting to. At 3:15 I brought my dog to the vet, and had to go in without my partner. She waited outside, feeling who knows what, as I sat there for the last time with our dog. Later that day my family met in the park to be with me. This sounds great except we were sitting in a wide circle adhering to social distancing standards. Grief in the time of COVID, especially early on, was such a lonely experience. ","Empty, grim, fake.",#999999,"I can’t remember at this point what the weather was like that day, but the memory of it feels gray. "
,,5/30/20,,,,,,,
25-40,Male,5/31/20,"Philadephia, PA, USA",USA,,"Attended my first public gathering in protest. I got goosebumps. It was my first time experiencing the ability/freedom we citizens have in speaking out in public with large groups. We put our possible health on the line to speak out. I found out that people won't hold back on speaking their beliefs no matter the circumstance, even in a pandemic. This is what freedom is all about - no matter what side you're on or point on the Political Spectrum Chart, having the freedom to speak out in public with whatever you want makes our country truly outstanding. Especially when you're surrounded by others who share similar sentiments. ","enlightening, freeing, powerful",#CC0000,I think it was mostly due to the colors I saw people wearing. Lots of black and red. 
,,6/1/20,,,,,,,
,,6/2/20,,,,,,,
,,6/3/20,,,,,,,
,,6/4/20,,,,,,,
,,6/5/20,,,,,,,
,,6/6/20,,,,,,,
,,6/7/20,,,"The global death toll from COVID-19 exceeds 400,000.",,,,
,,6/8/20,,,The number of confirmed cases of COVID-19 passes 7 million worldwide.[,,,,
,,6/9/20,,,"A Harvard University study suggests that COVID-19 may have been spreading in China as early as August 2019, based on hospital car park usage and web search trends.",,,,
,,6/10/20,,,,,,,
,,6/11/20,,,,,,,
,,6/12/20,,,,,,,
,,6/13/20,,,,,,,
,,6/14/20,,,,,,,
,,6/15/20,,,,,,,
,,6/16/20,,,The number of confirmed cases of COVID-19 passes 8 million worldwide.,,,,
,,6/17/20,,,,,,,
,,6/18/20,,,,,,,
,,6/19/20,,,,,,,
,,6/20/20,,,,,,,
,,6/21/20,,,,,,,
,,6/22/20,,,The number of confirmed cases of COVID-19 passes 9 million worldwide.,,,,
,,6/23/20,,,,,,,
,,6/24/20,,,,,,,
,,6/25/20,,,,,,,
,,6/26/20,,,,,,,
,,6/27/20,,,,,,,
,,6/28/20,,,"The number of confirmed cases of COVID-19 passes 10 million worldwide. The U.S. continues to report the highest number of any country as it reaches 2.5 million, a quarter of all cases globally.  The global death toll from COVID-19 exceeds 500,000.",,,,
,,6/29/20,,,,,,,
,,6/30/20,,,,,,,
,,7/1/20,,,,,,,
,,7/2/20,,,,,,,
,,7/3/20,,,,,,,
,,7/4/20,,,,,,,
,,7/5/20,,,,,,,
,,7/6/20,,,,,,,
,,7/7/20,,,Thousands of people rally outside the House of the National Assembly of Serbia in Belgrade in response to stricter lockdown measures proposed by President Aleksandar Vu_i_ following an increase of cases in the city.,,,,
,,7/8/20,,,,,,,
,,7/9/20,,,,,,,
,,7/10/20,,,,,,,
,,7/11/20,,,,,,,
,,7/12/20,,,,,,,
,,7/13/20,,,,,,,
,,7/14/20,,,,,,,
,,7/15/20,,,,,,,
,,7/16/20,,,,,,,
,,7/17/20,,,,,,,
,,7/18/20,,,,,,,
,,7/19/20,,,,,,,
,,7/20/20,,,,,,,
,,7/21/20,,,European leaders agree to create a �750 billion (US$858 billion) recovery fund to rebuild EU economies impacted by the pandemic.,,,,
,,7/22/20,,,The number of confirmed cases of COVID-19 passes 15 million worldwide.,,,,
,,7/23/20,,,,,,,
,,7/24/20,,,,,,,
,,7/25/20,,,"North Korean leader Kim Jong-un convenes an emergency meeting, declares a state of emergency, and orders the lockdown of Kaesong after a person suspected of having COVID-19 returned from South Korea. If confirmed, it would be the first case to be officially acknowledged by North Korea.",,,,
,,7/26/20,,,,,,,
,,7/27/20,,,,,,,
,,7/28/20,,,,,,,
,,7/29/20,,,,,,,
,,7/30/20,,,,,,,
,,7/31/20,,,,,,,
,,8/1/20,,,,,,,
25-40,NaN,8/2/20,"Sunnyside, NY, USA",USA,"In rare talks, Emirati Foreign Minister Sheikh Abdullah bin Zayed Al Nahyan and Iranian Foreign Minister Mohammad Javad Zarif hold a video call to discuss various regional issues, including combating COVID-19 in their respective countries.",Based on your parameters this was part of the pandemic however it had not hit nyc yet. I have to say this date because my twins were born! They were very early and went to nicu. I actually ended up having the flu and not being able to see them for a week. We had just started hearing about the virus in China but not the extent of it. I have many more memorable days but this qualifies as the most,"Relief, pain, anxious",#FF0099,"Bold color but pleasing, slightly unsettling"
,,8/3/20,,,,,,,
,,8/4/20,,,,,,,
,,8/5/20,,,,,,,
,,8/6/20,,,,,,,
,,8/7/20,,,,,,,
,,8/8/20,,,,,,,
,,8/9/20,,,,,,,
,,8/10/20,,,The number of confirmed cases of COVID-19 passes 20 million worldwide.,,,,
,,8/11/20,,,Russian President Vladimir Putin announces that Russia has approved the world's first COVID-19 vaccine.,,,,
,,8/12/20,,,,,,,
,,8/13/20,,,,,,,
,,8/14/20,,,,,,,
,,8/15/20,,,,,,,
,,8/16/20,,,,,,,
,,8/17/20,,,,,,,
,,8/18/20,,,,,,,
,,8/19/20,,,,,,,
,,8/20/20,,,,,,,
,,8/21/20,,,,,,,
,,8/22/20,,,"COVID-19 pandemic: The worldwide death toll from COVID-19 exceeds 800,000.",,,,
,,8/23/20,,,,,,,
,,8/24/20,,,,,,,
,,8/25/20,,,,,,,
,,8/26/20,,,,,,,
,,8/27/20,,,,,,,
,,8/28/20,,,,,,,
,,8/29/20,,,,,,,
,,8/30/20,,,The number of confirmed cases of COVID-19 passes 25 million worldwide. India continues to record the highest daily increase of cases.,,,,
,,8/31/20,,,,,,,
,,9/1/20,,,,,,,
,,9/2/20,,,,,,,
,,9/3/20,,,,,,,
,,9/4/20,,,,,,,
,,9/5/20,,,,,,,
,,9/6/20,,,,,,,
,,9/7/20,,,,,,,
,,9/8/20,,,,,,,
,,9/9/20,,,,,,,
,,9/10/20,,,,,,,
,,9/11/20,,,,,,,
,,9/12/20,,,,,,,
,,9/13/20,,,,,,,
,,9/14/20,,,,,,,
,,9/15/20,,,,,,,
,,9/16/20,,,,,,,
,,9/17/20,,,The number of confirmed cases of COVID-19 passes 30 million worldwide.,,,,
,,9/18/20,,,,,,,
,,9/19/20,,,,,,,
,,9/20/20,,,,,,,
,,9/21/20,,,,,,,
,,9/22/20,,,,,,,
,,9/23/20,,,,,,,
,,9/24/20,,,,,,,
,,9/25/20,,,,,,,
,,9/26/20,,,,,,,
,,9/27/20,,,,,,,
,,9/28/20,,,,,,,
,,9/29/20,,,The worldwide death toll from COVID-19 exceeds one million.,,,,
,,9/30/20,,,,,,,
,,10/1/20,,,,,,,
,,10/2/20,,,,,,,
,,10/3/20,,,,,,,
,,10/4/20,,,,,,,
,,10/5/20,,,The number of confirmed cases of COVID-19 passes 35 million worldwide. The news coincides with the World Health Organization estimating that total worldwide cases may be around 760 million - roughly a tenth of the global population.,,,,
,,10/6/20,,,,,,,
,,10/7/20,,,,,,,
,,10/8/20,,,,,,,
,,10/9/20,,,,,,,
,,10/10/20,,,,,,,
,,10/11/20,,,,,,,
,,10/12/20,,,,,,,
,,10/13/20,,,,,,,
,,10/14/20,,,,,,,
,,10/15/20,,,,,,,
,,10/16/20,,,,,,,
,,10/17/20,,,,,,,
,,10/18/20,,,,,,,
,,10/19/20,,,The number of confirmed cases of COVID-19 passes 40 million worldwide.,,,,
,,10/20/20,,,,,,,
,,10/21/20,,,,,,,
,,10/22/20,,,,,,,
,,10/23/20,,,,,,,
,,10/24/20,,,,,,,
,,10/25/20,,,,,,,
,,10/26/20,,,,,,,
,,10/27/20,,,,,,,
,,10/28/20,,,,,,,
,,10/29/20,,,,,,,
,,10/30/20,,,The number of confirmed cases of COVID-19 passes 45 million worldwide.,,,,
,,10/31/20,,,,,,,
,,11/1/20,,,,,,,
,,11/2/20,,,,,,,
,,11/3/20,,,,,,,
,,11/4/20,,,,,,,
,,11/5/20,,,,,,,
,,11/6/20,,,,,,,
,,11/7/20,,,,,,,
,,11/8/20,,,The number of confirmed cases of COVID-19 passes 50 million worldwide.,,,,
,,11/9/20,,,"The first successful phase III trial of a COVID-19 vaccine is announced by drug companies Pfizer and BioNTech, which is 90% effective according to interim results.",,,,
,,11/10/20,,,,,,,
,,11/11/20,,,The Sputnik V vaccine is proven to be 92% effective against COVID-19 according to interim results.,,,,
,,11/12/20,,,,,,,
,,11/13/20,,,,,,,
,,11/14/20,,,,,,,
,,11/15/20,,,,,,,
,,11/16/20,,,"Moderna's mRNA vaccine is proven to be 94.5% effective against COVID-19 based on interim results, including severe illnesses. The vaccine has been cited as being among those that are easier to distribute as no ultra-cold storage is required.",,,,
,,11/17/20,,,"The number of confirmed cases of COVID-19 passes 55 million worldwide, with around a million cases recorded every two days on average.",,,,
,,11/18/20,,,"Pfizer and BioNTech complete trials on their COVID-19 vaccine, with an overall effectiveness rate of 95% without adverse events.",,,,
,,11/19/20,,,,,,,
,,11/20/20,,,,,,,
,,11/21/20,,,,,,,
,,11/22/20,,,,,,,
,,11/23/20,,,"AstraZeneca's AZD1222 vaccine, developed in collaboration with Oxford University, is shown to be 70% effective in protecting against COVID-19. The efficacy can be raised to 90% if an initial half dose is followed by a full dose a month later, based on interim data.",,,,
,,11/24/20,,,,,,,
,,11/25/20,,,The number of confirmed cases of COVID-19 passes 60 million worldwide.,,,,
,,11/26/20,,,,,,,
,,11/27/20,,,,,,,
,,11/28/20,,,,,,,
,,11/29/20,,,,,,,
,,11/30/20,,,Moderna files an application for Emergency Use Authorization in the United States after its vaccine achieved an efficacy of 94.1% from full trials without safety concerns. It also plans to do the same in EU soon.,,,,
,,12/1/20,,,Pfizer and BioNTech announced an Emergency Use Authorization application to the European Medicines Agency.,,,,
,,12/2/20,,,"The United Kingdom approves Pfizer-BioNTech's BNT162b2 vaccine, being the first country in the world to do so.",,,,
,,12/3/20,,,,,,,
,,12/4/20,,,"The number of confirmed cases of COVID-19 passes 65 million worldwide, with the global death toll exceeding 1.5 million. Figures reflect that, in the last week, over 10,000 people worldwide have died on average every day, with one death every nine seconds. According to the World Health Organization, COVID-19 had caused more deaths in 2020 than tuberculosis in 2019, as well as four times the number of deaths than malaria.",,,,
,,12/5/20,,,Russia begins mass vaccination against COVID-19 with the Sputnik V candidate.,,,,
,,12/6/20,,,,,,,
,,12/7/20,,,,,,,
,,12/8/20,,,"The United Kingdom becomes the first nation to begin a mass inoculation campaign using a clinically authorised, fully tested vaccine, Pfizer�BioNTech COVID-19 vaccine. Margaret Keenan, 90, becomes the first person in the world to get the Pfizer jab outside of the vaccine�s trial.",,,,
,,12/9/20,,,,,,,
,,12/10/20,,,"The United States and Saudi Arabia approve the Pfizer�BioNTech COVID-19 vaccine for emergency use, while Argentina approves Sputnik V.",,,,
,,12/11/20,,,,,,,
,,12/12/20,,,The number of confirmed cases of COVID-19 passes 70 million worldwide.,,,,
,,12/13/20,,,,,,,
,,12/14/20,,,"The United States and Canada begin mass vaccination with the Pfizer�BioNTech COVID-19 vaccine. In addition, Singapore approves the Pfizer�BioNTech COVID-19 vaccine, with other companies to provide vaccines progressively.",,,,
,,12/15/20,,,,,,,
,,12/16/20,,,,,,,
,,12/17/20,,,,,,,
,,12/18/20,,,"The number of confirmed cases of COVID-19 passes 75 million worldwide.  The United States approves Moderna's vaccine for emergency use, the second brand available there.",,,,
,,12/19/20,,,,,,,
,,12/20/20,,,A highly infectious new strain of SARS-CoV-2 spreading in Europe and Australia provokes international border closures.,,,,
,,12/21/20,,,"36 cases are reported on the Base General Bernardo O'Higgins Riquelme in the Chilean Antarctic Territory, marking the first infections in Antarctica, the last continent to report infections.",,,,
,,12/22/20,,,,,,,
,,12/23/20,,,"Canada approves Moderna's vaccine, the second country to do so.",,,,
,,12/24/20,,,Sinovac's vaccine reached a rate of 91.25% efficacy in trials in Turkey.,,,,
,,12/25/20,,,,,,,
,,12/26/20,,,,,,,
